date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:55:15	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2017%20Aug%202020%2007:25:15%20GMT	https://anushreeingale7.responsivewebsitebuilder.io/	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/index.html	(from )
12:55:15	46/46	U-----	200	untouched ('OK')	text/plain	etag:W/%2226-1597561250215%22	https://anushreeingale7.responsivewebsitebuilder.io/robots.txt		(from )
12:55:18	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2017%20Aug%202020%2007:25:19%20GMT	https://anushreeingale7.responsivewebsitebuilder.io/home	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/home.0.delayed	(from https://anushreeingale7.responsivewebsitebuilder.io/)
12:55:20	39256/39256	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2017%20Aug%202020%2007:25:21%20GMT	https://anushreeingale7.responsivewebsitebuilder.io/login	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/login.html	(from https://anushreeingale7.responsivewebsitebuilder.io/)
12:55:23	97163/97163	U-----	200	untouched ('')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	C:/Users/Home%20PC/Desktop/serviceVm/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
12:55:23	228079/228079	U-----	200	untouched ('')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/jquery-ui.min.js	C:/Users/Home%20PC/Desktop/serviceVm/ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/jquery-ui.min.js	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
12:55:29	999/999	U--MCZ	200	updated ('OK')	application/javascript	date:Mon,%2017%20Aug%202020%2007:25:29%20GMT	https://anushreeingale7.responsivewebsitebuilder.io/editor/scripts/dm.fbconnect.js	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/scripts/dm.fbconnect.js	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
12:55:30	14896/14896	U--MCZ	200	updated ('OK')	text/javascript	date:Mon,%2017%20Aug%202020%2007:25:29%20GMT	https://anushreeingale7.responsivewebsitebuilder.io/common/scripts/dm.trackstats.jsp?v=2020-08-16T06_51_50	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/common/scripts/dm.trackstats25f5.jsp	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
12:55:34	3898/3898	U--MCZ	200	updated ('OK')	text/javascript	date:Mon,%2017%20Aug%202020%2007:25:34%20GMT	https://anushreeingale7.responsivewebsitebuilder.io/common/scripts/dm.trackcampaigns.jsp?v=2020-08-16T06_51_50	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/common/scripts/dm.trackcampaigns25f5.jsp	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
12:55:34	1218/1218	U--MCZ	200	updated ('OK')	application/javascript	date:Mon,%2017%20Aug%202020%2007:25:34%20GMT	https://anushreeingale7.responsivewebsitebuilder.io/editor/nee/utils/placeholder/placeholder.js	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/nee/utils/placeholder/placeholder.js	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
12:55:42	5022/5022	U--MCZ	200	updated ('OK')	text/css	date:Mon,%2017%20Aug%202020%2007:25:42%20GMT	https://anushreeingale7.responsivewebsitebuilder.io/editor/stylesheets/static/pt/login/wl.login.css	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/stylesheets/static/pt/login/wl.login.css	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
12:55:42	35759/35759	U--MCZ	200	updated ('OK')	text/css	date:Mon,%2017%20Aug%202020%2007:25:42%20GMT	https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
12:55:45	1185/1185	U--MCZ	200	updated ('OK')	text/css	etag:W/%2244b6c9a28dd90ecd024113af338a0a5f37da4c62%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/optimized/wl.login.colors.scss.css	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/optimized/wl.login.colors.scss.css	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
12:55:59	32266/32266	U-----	200	untouched ('OK')	text/css	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/jquery-ui.css	C:/Users/Home%20PC/Desktop/serviceVm/ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/jquery-ui.css	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
12:56:00	72045/72045	U-----	200	untouched ('OK')	text/css	etag:%22fc83f6d2ba2aa43816422a4be8df4ad8%22	https://static-cdn.multiscreensite.com/mnlt/production/1388/_dm/s/rt/dist/css/css-font-package-v2.min.css	C:/Users/Home%20PC/Desktop/serviceVm/static-cdn.multiscreensite.com/mnlt/production/1388/_dm/s/rt/dist/css/css-font-package-v2.min.css	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
