date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:50:08	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2017%20Aug%202020%2007:20:09%20GMT	https://anushreeingale7.responsivewebsitebuilder.io/	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/index.html	(from )
12:50:08	46/46	---MCZ	200	added ('OK')	text/plain	etag:W/%2226-1597561250215%22	https://anushreeingale7.responsivewebsitebuilder.io/robots.txt		(from )
12:50:11	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2017%20Aug%202020%2007:20:11%20GMT	https://anushreeingale7.responsivewebsitebuilder.io/home	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/home.0.delayed	(from https://anushreeingale7.responsivewebsitebuilder.io/)
12:50:14	39256/39256	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Aug%202020%2007:20:14%20GMT	https://anushreeingale7.responsivewebsitebuilder.io/login	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/login.html	(from https://anushreeingale7.responsivewebsitebuilder.io/)
12:50:19	32266/32266	---MC-	200	added ('OK')	text/css	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/jquery-ui.css	C:/Users/Home%20PC/Desktop/serviceVm/ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/jquery-ui.css	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
12:50:24	97163/97163	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	C:/Users/Home%20PC/Desktop/serviceVm/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
12:50:30	228079/228079	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/jquery-ui.min.js	C:/Users/Home%20PC/Desktop/serviceVm/ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/jquery-ui.min.js	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
12:50:30	220/220	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2017%20Aug%202020%2007:20:21%20GMT	https://anushreeingale7.responsivewebsitebuilder.io/editor/login/login.js	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/login/login.js	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
12:50:33	999/999	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2017%20Aug%202020%2007:20:34%20GMT	https://anushreeingale7.responsivewebsitebuilder.io/editor/scripts/dm.fbconnect.js	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/scripts/dm.fbconnect.js	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
12:50:38	14896/14896	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2017%20Aug%202020%2007:20:38%20GMT	https://anushreeingale7.responsivewebsitebuilder.io/common/scripts/dm.trackstats.jsp?v=2020-08-16T06_51_50	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/common/scripts/dm.trackstats25f5.jsp	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
12:50:40	3898/3898	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2017%20Aug%202020%2007:20:41%20GMT	https://anushreeingale7.responsivewebsitebuilder.io/common/scripts/dm.trackcampaigns.jsp?v=2020-08-16T06_51_50	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/common/scripts/dm.trackcampaigns25f5.jsp	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
12:50:43	1218/1218	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2017%20Aug%202020%2007:20:43%20GMT	https://anushreeingale7.responsivewebsitebuilder.io/editor/nee/utils/placeholder/placeholder.js	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/nee/utils/placeholder/placeholder.js	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
12:50:46	35759/35759	---MCZ	200	added ('OK')	text/css	date:Mon,%2017%20Aug%202020%2007:20:46%20GMT	https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
12:50:47	5022/5022	---MCZ	200	added ('OK')	text/css	date:Mon,%2017%20Aug%202020%2007:20:47%20GMT	https://anushreeingale7.responsivewebsitebuilder.io/editor/stylesheets/static/pt/login/wl.login.css	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/stylesheets/static/pt/login/wl.login.css	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
12:50:49	1185/1185	---MCZ	200	added ('OK')	text/css	etag:W/%2244b6c9a28dd90ecd024113af338a0a5f37da4c62%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/optimized/wl.login.colors.scss.css	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/optimized/wl.login.colors.scss.css	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
12:50:53	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:W/%221150-1597561250179%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/product/reseller/images/favicon_reseller.ico	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/product/reseller/images/favicon_reseller.ico	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
12:50:59	72045/72045	---M-Z	200	added ('OK')	text/css	etag:%22fc83f6d2ba2aa43816422a4be8df4ad8%22	https://static-cdn.multiscreensite.com/mnlt/production/1388/_dm/s/rt/dist/css/css-font-package-v2.min.css	C:/Users/Home%20PC/Desktop/serviceVm/static-cdn.multiscreensite.com/mnlt/production/1388/_dm/s/rt/dist/css/css-font-package-v2.min.css	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
12:51:04	3075/3075	---MCZ	200	added ('OK')	text/css	date:Mon,%2017%20Aug%202020%2007:21:04%20GMT	https://anushreeingale7.responsivewebsitebuilder.io/_dm/s/rt/css/font-icons/wl-fonts/nee.dmfonts.css	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/_dm/s/rt/css/font-icons/wl-fonts/nee.dmfonts.css	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
12:51:06	56/56	---MCZ	200	added ('OK')	text/css	date:Mon,%2017%20Aug%202020%2007:21:06%20GMT	https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/dm.fbconnect.css	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/dm.fbconnect.css	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
12:51:11	674/674	---MC-	200	added ('OK')	text/javascript	date:Mon,%2017%20Aug%202020%2007:21:10%20GMT	https://www.google.com/recaptcha/api.js	C:/Users/Home%20PC/Desktop/serviceVm/www.google.com/recaptcha/api.js	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
12:51:13	50455/50455	---MC-	200	added ('OK')	application/javascript	date:Mon,%2017%20Aug%202020%2007:21:13%20GMT	https://apis.google.com/js/platform.js	C:/Users/Home%20PC/Desktop/serviceVm/apis.google.com/js/platform.js	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
12:51:15	35110/35110	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Aug%202020%2007:21:15%20GMT	https://anushreeingale7.responsivewebsitebuilder.io/login/askresetpwd?lang=en	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/login/askresetpwd9ed2.html	(from https://anushreeingale7.responsivewebsitebuilder.io/login)
12:51:18	1738/1738	---M--	200	added ('OK')	image/gif	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/images/animated-overlay.gif	C:/Users/Home%20PC/Desktop/serviceVm/ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/images/animated-overlay.gif	(from https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/jquery-ui.css)
12:51:19	178/178	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/images/ui-bg_flat_75_ffffff_40x100.png	C:/Users/Home%20PC/Desktop/serviceVm/ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/images/ui-bg_flat_75_ffffff_40x100.png	(from https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/jquery-ui.css)
12:51:20	101/101	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/images/ui-bg_highlight-soft_75_cccccc_1x100.png	C:/Users/Home%20PC/Desktop/serviceVm/ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/images/ui-bg_highlight-soft_75_cccccc_1x100.png	(from https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/jquery-ui.css)
